no.,section,chapter,heading,sub-heading,tariff,description
3361,07,39,3918,391810,39181019,"Floor, wall or ceiling coverings; of polymers of vinyl chloride, whether or not selfadhesive, in rolls or in the form of tiles - Other"
3362,07,39,3918,391810,39181090,"Floor, wall or ceiling coverings; of polymers of vinyl chloride, whether or not selfadhesive, in rolls or in the form of tiles - Other"
3363,07,39,3918,391890,39189011,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Tiles, of polyethylene"
3364,07,39,3918,391890,39189013,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Other, of polyethylene"
3365,07,39,3918,391890,39189014,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of chemical derivatives of natural rubber"
3366,07,39,3918,391890,39189015,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of other addition polymerisation products; of condensation or rearrangement polymerisation products;"
3367,07,39,3918,391890,39189016,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of vulcanised fibre"
3368,07,39,3918,391890,39189019,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Other"
3369,07,39,3918,391890,39189091,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of polyethylene"
3370,07,39,3918,391890,39189092,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of chemical derivatives of natural rubber"
3371,07,39,3918,391890,39189093,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of other addition polymerisation products; of condensation or rearrangement polymerisation products;"
3372,07,39,3918,391890,39189094,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Of vulcanised fibre"
3373,07,39,3918,391890,39189099,"Floor, wall or ceiling coverings; of plastics (excluding polymers of vinyl chloride), whether or not selfadhesive, in rolls or in the form of tiles - Other"
3374,07,39,3919,391910,39191010,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, in rolls of a width not exceeding 20cm - Of polymers of vinyl chloride"
3375,07,39,3919,391910,39191020,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, in rolls of a width not exceeding 20cm - Of polyethylene"
3376,07,39,3919,391910,39191091,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, in rolls of a width not exceeding 20cm - Of hardened protein or chemical derivatives of natural rubber"
3377,07,39,3919,391910,39191092,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, in rolls of a width not exceeding 20cm - Of addition polymerisation products; of condensation or rearrangement polymerisation products; of cellulose nitrate,"
3378,07,39,3919,391910,39191099,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, in rolls of a width not exceeding 20cm - Other"
3379,07,39,3919,391990,39199010,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, other than in rolls of a width not exceeding 20cm - Of polymers of vinyl chloride"
3380,07,39,3919,391990,39199020,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, other than in rolls of a width not exceeding 20cm - Of hardened proteins"
3381,07,39,3919,391990,39199091,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, other than in rolls of a width not exceeding 20cm - Of chemical derivatives of natural rubber"
3382,07,39,3919,391990,39199092,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, other than in rolls of a width not exceeding 20cm - Of addition polymerisation products; of condensation or rearrangement polymerisation products; of cellulos"
3383,07,39,3919,391990,39199099,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, selfadhesive, other than in rolls of a width not exceeding 20cm - Other"
3384,07,39,3920,392010,39201011,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polymers of ethylene, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Rigid"
3385,07,39,3920,392010,39201019,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polymers of ethylene, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3386,07,39,3920,392010,39201090,"Plastics; plates, sheets, film, foil and strip (not selfadhesive), of polymers of ethylene, noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3387,07,39,3920,392020,39202010,"Plastics; of polymers of propylene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Biaxially oriented polypropylene (BOPP) film"
3388,07,39,3920,392020,39202091,"Plastics; of polymers of propylene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets"
3389,07,39,3920,392020,39202099,"Plastics; of polymers of propylene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other"
3390,07,39,3920,392030,39203020,"Plastics; of polymers of styrene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Acrylonitrile butadiene styrene (ABS) sheets of a kind used in"
3391,07,39,3920,392030,39203091,"Plastics; of polymers of styrene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Plates and sheets, rigid"
3392,07,39,3920,392030,39203092,"Plastics; of polymers of styrene, plates, sheets, film, foil and strip (not selfadhesive), noncellular and not reinforced, laminated, supported or similarly combined with other materials - Other, plates and sheets"
